TL,TM,TR,ML,MM,MR,BL,BM,BR,class
b,b,b,o,x,x,o,b,b,X
b,b,b,o,x,x,o,x,b,X
b,b,o,o,x,x,o,x,b,X
b,b,o,o,x,x,o,x,x,X
b,o,o,o,x,x,o,x,x,X
x,o,o,o,x,x,o,x,x,X
b,x,b,b,b,b,b,b,b,X
b,x,b,b,b,b,b,b,o,X
b,x,b,x,b,b,b,b,o,X
b,x,b,x,b,o,b,b,o,X
b,x,b,x,b,o,b,x,o,X
b,x,b,x,b,o,o,x,o,X
b,x,x,x,b,o,o,x,o,X
o,x,x,x,b,o,o,x,o,X
o,x,x,x,x,o,o,x,o,X
x,b,b,b,b,b,b,b,b,X
x,b,o,b,b,b,b,b,b,X
x,x,o,b,b,b,b,b,b,X
x,x,o,b,b,b,o,b,b,X
x,x,o,b,x,b,o,b,b,X
x,x,o,o,x,b,o,b,b,X
x,x,o,o,x,x,o,b,b,X
x,x,o,o,x,x,o,o,b,X
x,x,o,o,x,x,o,o,x,X
b,b,x,b,b,b,b,b,b,O
b,b,x,b,b,o,b,b,b,O
b,x,x,b,b,o,b,b,b,O
b,x,x,o,b,o,b,b,b,O
b,x,x,o,b,o,b,b,x,O
b,x,x,o,o,o,b,b,x,O
b,b,b,x,b,b,b,b,b,X
b,b,b,x,b,b,b,b,o,X
b,b,b,x,b,x,b,b,o,X
b,b,b,x,b,x,b,o,o,X
b,b,b,x,b,x,x,o,o,X
b,b,b,x,o,x,x,o,o,X
b,x,b,x,o,x,x,o,o,X
b,x,o,x,o,x,x,o,o,X
x,x,o,x,o,x,x,o,o,X
x,b,b,b,b,b,b,b,b,O
x,o,b,b,b,b,b,b,b,O
x,o,b,b,b,b,b,b,x,O
x,o,b,b,o,b,b,b,x,O
x,o,b,b,o,b,x,b,x,O
x,o,b,b,o,b,x,o,x,O
b,x,b,b,b,b,b,b,b,D
b,x,b,b,b,b,b,o,b,D
b,x,b,b,b,b,x,o,b,D
b,x,b,b,b,o,x,o,b,D
b,x,b,b,b,o,x,o,x,D
b,x,o,b,b,o,x,o,x,D
b,x,o,x,b,o,x,o,x,D
o,x,o,x,b,o,x,o,x,D
o,x,o,x,x,o,x,o,x,D
b,b,b,x,b,b,b,b,b,X
b,b,b,x,o,b,b,b,b,X
b,b,x,x,o,b,b,b,b,X
b,b,x,x,o,b,b,b,o,X
b,x,x,x,o,b,b,b,o,X
b,x,x,x,o,o,b,b,o,X
x,x,x,x,o,o,b,b,o,X
b,b,x,b,b,b,b,b,b,D
b,b,x,b,b,o,b,b,b,D
b,b,x,b,b,o,x,b,b,D
o,b,x,b,b,o,x,b,b,D
o,x,x,b,b,o,x,b,b,D
o,x,x,b,o,o,x,b,b,D
o,x,x,x,o,o,x,b,b,D
o,x,x,x,o,o,x,o,b,D
o,x,x,x,o,o,x,o,x,D
b,b,b,b,b,b,b,b,x,X
b,b,b,b,b,b,b,o,x,X
b,b,b,b,b,x,b,o,x,X
b,b,b,b,b,x,o,o,x,X
b,b,b,b,x,x,o,o,x,X
b,b,o,b,x,x,o,o,x,X
b,b,o,x,x,x,o,o,x,X
b,b,b,b,b,x,b,b,b,X
b,b,b,b,b,x,b,o,b,X
b,b,b,b,b,x,b,o,x,X
b,o,b,b,b,x,b,o,x,X
b,o,b,b,x,x,b,o,x,X
o,o,b,b,x,x,b,o,x,X
o,o,b,x,x,x,b,o,x,X
b,b,x,b,b,b,b,b,b,X
b,b,x,b,b,b,b,o,b,X
b,b,x,b,x,b,b,o,b,X
b,o,x,b,x,b,b,o,b,X
b,o,x,b,x,x,b,o,b,X
o,o,x,b,x,x,b,o,b,X
o,o,x,x,x,x,b,o,b,X
b,b,b,b,b,x,b,b,b,X
b,b,b,o,b,x,b,b,b,X
b,x,b,o,b,x,b,b,b,X
b,x,b,o,b,x,o,b,b,X
x,x,b,o,b,x,o,b,b,X
x,x,b,o,b,x,o,b,o,X
x,x,b,o,b,x,o,x,o,X
x,x,b,o,o,x,o,x,o,X
x,x,x,o,o,x,o,x,o,X
b,b,b,b,b,b,x,b,b,D
b,b,b,o,b,b,x,b,b,D
b,b,b,o,x,b,x,b,b,D
b,b,b,o,x,b,x,b,o,D
b,b,b,o,x,b,x,x,o,D
b,b,o,o,x,b,x,x,o,D
x,b,o,o,x,b,x,x,o,D
x,o,o,o,x,b,x,x,o,D
x,o,o,o,x,x,x,x,o,D
b,b,b,b,b,b,b,x,b,O
b,b,b,b,b,b,b,x,o,O
b,b,b,b,b,x,b,x,o,O
b,o,b,b,b,x,b,x,o,O
b,o,b,b,x,x,b,x,o,O
o,o,b,b,x,x,b,x,o,O
o,o,b,b,x,x,x,x,o,O
o,o,o,b,x,x,x,x,o,O
b,b,b,b,b,x,b,b,b,D
b,b,o,b,b,x,b,b,b,D
b,b,o,b,x,x,b,b,b,D
b,b,o,b,x,x,b,b,o,D
b,b,o,b,x,x,x,b,o,D
b,b,o,b,x,x,x,o,o,D
x,b,o,b,x,x,x,o,o,D
x,b,o,o,x,x,x,o,o,D
x,x,o,o,x,x,x,o,o,D
x,b,b,b,b,b,b,b,b,X
x,b,b,o,b,b,b,b,b,X
x,b,b,o,b,b,b,x,b,X
x,b,b,o,b,b,b,x,o,X
x,b,b,o,x,b,b,x,o,X
x,b,b,o,x,b,o,x,o,X
x,b,b,o,x,x,o,x,o,X
x,b,o,o,x,x,o,x,o,X
x,x,o,o,x,x,o,x,o,X
b,b,b,b,b,b,b,x,b,X
